Date,Power655
30-12-2021,09-25-27-32-37-46-23
1-1-2022,04-25-28-32-33-55-03
4-1-2022,11-17-22-28-39-49-43
6-1-2022,04-08-14-21-30-49-38
8-1-2022,06-17-37-41-48-50-13
11-1-2022,12-25-26-28-33-46-22
13-1-2022,07-12-17-26-37-46-28
15-1-2022,20-26-41-46-47-48-18
18-1-2022,06-15-16-33-41-43-51
20-1-2022,08-21-32-34-41-46-48
22-1-2022,02-06-16-29-37-42-22
25-1-2022,02-16-17-20-31-51-50
27-1-2022,01-26-31-36-40-46-28
29-1-2022,06-10-17-23-25-38-21
1-2-2022,------
3-2-2022,13-18-22-35-42-43-03
5-2-2022,01-17-23-29-44-45-37
8-2-2022,12-15-21-28-32-40-43
10-2-2022,03-15-26-35-43-52-07
12-2-2022,04-08-12-42-44-51-41
15-2-2022,05-07-14-24-29-36-46
17-2-2022,05-24-40-42-46-54-03
19-2-2022,01-11-14-33-46-48-40
22-2-2022,09-16-19-23-25-39-04
24-2-2022,02-15-25-30-31-32-13
26-2-2022,05-08-30-36-49-51-18
1-3-2022,15-19-25-42-51-53-02
3-3-2022,04-10-16-25-26-43-52
5-3-2022,05-12-15-25-43-48-01
8-3-2022,03-23-25-39-47-48-55
10-3-2022,01-03-08-16-19-36-41
12-3-2022,12-16-18-26-30-45-36
15-3-2022,06-14-24-28-33-52-50
17-3-2022,01-06-12-21-37-49-53
19-3-2022,08-20-24-37-51-55-27
22-3-2022,01-14-18-28-47-49-22
24-3-2022,05-09-16-35-45-46-44
26-3-2022,01-06-16-30-34-55-29
29-3-2022,05-11-32-35-40-52-31
31-3-2022,05-24-34-39-42-49-16
2-4-2022,32-38-42-44-47-55-46
5-4-2022,05-18-26-36-43-44-45
7-4-2022,06-14-15-25-29-32-41
9-4-2022,02-03-19-28-42-45-12
12-4-2022,11-18-20-22-25-40-05
14-4-2022,01-05-09-34-37-45-52
16-4-2022,04-08-39-41-53-55-52
19-4-2022,02-07-13-28-29-34-39
21-4-2022,21-24-27-34-38-42-46
23-4-2022,03-27-36-41-49-55-18
26-4-2022,14-22-24-25-43-49-17
28-4-2022,08-24-25-32-37-44-03
30-4-2022,11-23-51-52-53-54-27
3-5-2022,01-22-38-48-49-53-42
5-5-2022,27-29-33-39-47-53-55
7-5-2022,15-32-33-36-43-46-31
10-5-2022,12-18-41-43-47-51-10
12-5-2022,09-18-24-43-44-50-15
14-5-2022,02-28-30-43-44-55-22
17-5-2022,11-17-25-29-45-48-53
19-5-2022,03-06-31-40-47-54-08
21-5-2022,19-32-38-40-45-48-02
24-5-2022,18-31-32-46-50-52-28
26-5-2022,04-30-32-39-41-53-42
28-5-2022,33-36-38-42-43-46-03
31-5-2022,04-10-15-16-47-51-23
2-6-2022,07-11-28-30-33-50-49
4-6-2022,03-17-27-30-34-49-25
7-6-2022,16-17-21-28-39-50-19
9-6-2022,30-31-35-43-48-50-22
11-6-2022,10-18-23-25-45-47-38
14-6-2022,02-15-26-32-35-36-16
16-6-2022,09-13-21-40-51-54-04
18-6-2022,06-27-43-44-45-47-33
21-6-2022,09-13-19-21-34-51-35
23-6-2022,10-22-23-34-46-54-27
25-6-2022,14-17-31-35-37-40-28
28-6-2022,05-22-30-32-38-55-33
30-6-2022,05-11-15-19-29-31-35
2-7-2022,06-26-39-40-46-47-02
5-7-2022,05-07-12-26-29-44-38
7-7-2022,18-24-32-43-48-55-15
9-7-2022,05-21-24-47-52-55-20
12-7-2022,12-13-24-25-39-41-09
14-7-2022,11-25-29-37-39-52-45
16-7-2022,06-13-18-27-34-46-33
19-7-2022,08-09-33-34-35-52-36
21-7-2022,02-20-33-45-51-55-01
23-7-2022,27-28-29-39-40-54-13
26-7-2022,05-08-09-13-14-47-53
28-7-2022,05-06-17-28-29-39-34
